1, 1
2, 1
3, 1
4, 1
5, 1
6, 2
7, 2
8, 2
9, 2
10, 2
11, 3
12, 3
13, 3
14, 3
15, 3
16, 4
17, 4
18, 4
19, 4
20, 4
21, 5
22, 5
23, 5
24, 5
25, 5
26, 6
27, 6
28, 6
29, 6
30, 6
31, 7
32, 7
33, 7
34, 7
35, 7
36, 8
37, 8
38, 8
39, 8
40, 8
41, 9
42, 9
43, 9
44, 9
45, 9
46, 10
47, 10
48, 10
49, 10
50, 10
51, 11
52, 11
53, 11
54, 11
55, 11
56, 12
57, 12
58, 12
59, 12
60, 12
61, 13
62, 13
63, 13
64, 13
65, 13
66, 14
67, 14
68, 14
69, 14
70, 14
71, 15
72, 15
73, 15
74, 15
75, 15
76, 16
77, 16
78, 16
79, 16
80, 16
81, 17
82, 17
83, 17
84, 17
85, 17
86, 18
87, 18
88, 18
89, 18
90, 18
91, 19
92, 19
93, 19
94, 19
95, 19
96, 20
97, 20
98, 20
99, 20
100, 20
101, 21
102, 21
103, 21
104, 21
105, 21
106, 22
107, 22
108, 22
109, 22
110, 22
111, 23
112, 23
113, 23
114, 23
115, 23
116, 24
117, 24
118, 24
119, 24
120, 24
121, 25
122, 25
123, 25
124, 25
125, 25
126, 26
127, 26
128, 26
129, 26
130, 26
131, 27
132, 27
133, 27
134, 27
135, 27
136, 28
137, 28
138, 28
139, 28
140, 28
141, 29
142, 29
143, 29
144, 29
145, 29
146, 30
147, 30
148, 30
149, 30
150, 30
151, 31
152, 31
153, 31
154, 31
155, 31
156, 32
157, 32
158, 32
159, 32
160, 32
161, 33
162, 33
163, 33
164, 33
165, 33
166, 34
167, 34
168, 34
169, 34
170, 34
171, 35
172, 35
173, 35
174, 35
175, 35
176, 36
177, 36
178, 36
179, 36
180, 36
181, 37
182, 37
183, 37
184, 37
185, 37
186, 38
187, 38
188, 38
189, 38
190, 38
191, 39
192, 39
193, 39
194, 39
195, 39
196, 40
197, 40
198, 40
199, 40
200, 40
